"LAF","ST","AST","REV-ST","REV-AST","TMP","channel","start_time","end_time","source_file"
-205.149,-0.152136,0.0533967,0.0341548,-0.0900551,27.624,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-204.895,-0.104425,0.00161625,0.00149939,0.067518,3.048,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-204.641,0.0112698,-0.0337193,0.0645685,0.0541618,164.726,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-204.387,-0.0558842,-0.0909848,0.174057,-0.0191494,-74.668,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-204.132,-0.0385966,-0.121226,0.149354,-0.0226687,-24.201,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-203.878,0.0828353,-0.102317,0.104384,0.114491,68.489,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-203.624,-0.0793882,-0.00523297,0.0528742,0.140782,-75.501,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-203.37,-0.222426,0.0104501,-0.0667716,-0.0172509,-145.709,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-203.116,-0.201006,-0.00159443,0.0764362,-0.185832,-137.349,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-202.861,-0.0488397,-0.0834914,0.169762,-0.268781,180.372,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-202.607,-0.0384296,-0.15585,0.0118679,-0.236838,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-202.353,0.00771176,-0.118694,-0.0885818,-0.188082,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-202.099,-0.096346,-0.121217,-0.0343504,-0.263144,863.449,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-201.845,-0.151764,0.029233,-0.0279846,-0.171407,52.44,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
