"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","depth_m","datetime","label","leg"
15.099,2971.5,2727.98,3168.28,2873.91,9.018,"2026-05-02T11:59:36.502Z",15.099,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
15.353,2972.12,2731.45,3168.6,2877.53,9.202,"2026-05-02T11:59:36.502Z",15.353,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
15.607,2971.51,2733.62,3169.88,2881.72,9.372,"2026-05-02T11:59:36.502Z",15.607,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
15.861,2971.67,2736.46,3170.82,2885.55,9.538,"2026-05-02T11:59:36.502Z",15.861,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
16.116,2973.95,2740.83,3171.24,2889.07,9.697,"2026-05-02T11:59:36.502Z",16.116,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
16.37,2976.01,2745.24,3172.96,2893.73,9.861,"2026-05-02T11:59:36.502Z",16.37,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
16.624,2976.29,2748.43,3175.82,2899.24,10.033,"2026-05-02T11:59:36.502Z",16.624,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
16.878,2976.33,2750.51,3177.72,2903.64,10.172,"2026-05-02T11:59:36.502Z",16.878,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
17.132,2976.45,2751.46,3178.47,2906.48,10.259,"2026-05-02T11:59:36.502Z",17.132,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
17.387,2975.1,2750.67,3179.25,2908.44,10.308,"2026-05-02T11:59:36.502Z",17.387,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
17.641,2973.3,2749.17,3179.61,2909.32,10.329,"2026-05-02T11:59:36.502Z",17.641,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
17.895,2973.04,2748.78,3178.95,2908.88,10.329,"2026-05-02T11:59:36.502Z",17.895,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
18.149,2973.45,2748.91,3178.41,2908.44,10.323,"2026-05-02T11:59:36.502Z",18.149,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
18.403,2972.33,2747.74,3178.81,2908.79,10.318,"2026-05-02T11:59:36.502Z",18.403,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
18.658,2970.88,2746.31,3178.92,2908.82,10.314,"2026-05-02T11:59:36.502Z",18.658,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
18.912,2971.78,2747,3178.1,2908.16,10.313,"2026-05-02T11:59:36.502Z",18.912,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
19.166,2973.12,2748.26,3178.14,2908.36,10.317,"2026-05-02T11:59:36.502Z",19.166,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
19.42,2972.01,2747.56,3179.61,2909.66,10.326,"2026-05-02T11:59:36.502Z",19.42,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
19.674,2970.49,2746.23,3180.06,2910.05,10.328,"2026-05-02T11:59:36.502Z",19.674,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
19.929,2971.96,2746.96,3179.05,2909.3,10.314,"2026-05-02T11:59:36.502Z",19.929,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
20.183,2973.38,2748.16,3179.2,2909.68,10.317,"2026-05-02T11:59:36.502Z",20.183,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
20.437,2972.07,2747.26,3180.74,2911.26,10.332,"2026-05-02T11:59:36.502Z",20.437,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
20.691,2971.03,2746.28,3181.29,2911.81,10.332,"2026-05-02T11:59:36.502Z",20.691,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
20.945,2971.8,2746.65,3180.96,2911.35,10.317,"2026-05-02T11:59:36.502Z",20.945,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
21.2,2971.6,2746.4,3181.54,2911.77,10.312,"2026-05-02T11:59:36.502Z",21.2,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
21.454,2969.38,2744.65,3182.52,2912.64,10.321,"2026-05-02T11:59:36.502Z",21.454,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
21.708,2968.22,2743.64,3182.14,2912.46,10.327,"2026-05-02T11:59:36.502Z",21.708,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
21.962,2968.98,2744.13,3181.29,2912.13,10.334,"2026-05-02T11:59:36.502Z",21.962,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
22.216,2968.39,2743.69,3181.94,2912.99,10.345,"2026-05-02T11:59:36.502Z",22.216,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
22.471,2966.45,2742.01,3183.22,2913.98,10.342,"2026-05-02T11:59:36.502Z",22.471,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
22.725,2966.34,2741.7,3183.28,2913.76,10.328,"2026-05-02T11:59:36.502Z",22.725,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
22.979,2967.69,2742.61,3183.06,2913.5,10.317,"2026-05-02T11:59:36.502Z",22.979,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
23.233,2967.75,2742.62,3184.01,2914.36,10.315,"2026-05-02T11:59:36.502Z",23.233,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
23.487,2966.85,2741.96,3184.99,2915.24,10.32,"2026-05-02T11:59:36.502Z",23.487,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
23.742,2966.79,2741.78,3184.98,2915.47,10.323,"2026-05-02T11:59:36.502Z",23.742,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
23.996,2966.52,2741.37,3185.07,2915.84,10.326,"2026-05-02T11:59:36.502Z",23.996,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
24.25,2965.1,2740.15,3185.66,2916.37,10.329,"2026-05-02T11:59:36.502Z",24.25,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
24.504,2964.34,2739.61,3185.46,2916.14,10.332,"2026-05-02T11:59:36.502Z",24.504,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
24.758,2965.05,2740.03,3184.96,2915.8,10.328,"2026-05-02T11:59:36.502Z",24.758,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
25.013,2965.06,2739.77,3185.7,2916.44,10.319,"2026-05-02T11:59:36.502Z",25.013,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
25.267,2963.55,2738.53,3186.7,2917.29,10.322,"2026-05-02T11:59:36.502Z",25.267,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
25.521,2963.36,2738.34,3186.43,2917.19,10.326,"2026-05-02T11:59:36.502Z",25.521,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
25.775,2964.77,2739.51,3186.17,2917.15,10.327,"2026-05-02T11:59:36.502Z",25.775,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
26.029,2964.49,2739.07,3187.55,2918.67,10.329,"2026-05-02T11:59:36.502Z",26.029,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
26.284,2962.85,2737.44,3189.13,2920.11,10.325,"2026-05-02T11:59:36.502Z",26.284,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
26.538,2963.44,2737.78,3189.1,2919.86,10.313,"2026-05-02T11:59:36.502Z",26.538,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
26.792,2965.08,2739.34,3189.07,2919.81,10.313,"2026-05-02T11:59:36.502Z",26.792,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
27.046,2963.99,2738.84,3190.7,2921.33,10.33,"2026-05-02T11:59:36.502Z",27.046,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
27.3,2961.79,2736.93,3191.9,2922.3,10.33,"2026-05-02T11:59:36.502Z",27.3,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
27.555,2962.45,2737.23,3191.1,2921.57,10.321,"2026-05-02T11:59:36.502Z",27.555,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
27.809,2964.67,2738.7,3190.52,2921.31,10.311,"2026-05-02T11:59:36.502Z",27.809,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
28.063,2964.39,2738.42,3191.81,2922.7,10.316,"2026-05-02T11:59:36.502Z",28.063,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
28.317,2962.34,2737.25,3192.99,2923.8,10.338,"2026-05-02T11:59:36.502Z",28.317,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
28.571,2961.86,2736.99,3192.73,2923.56,10.344,"2026-05-02T11:59:36.502Z",28.571,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
28.826,2962.27,2737.02,3192.54,2923.6,10.34,"2026-05-02T11:59:36.502Z",28.826,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
29.08,2962.04,2736.44,3193.42,2924.55,10.332,"2026-05-02T11:59:36.502Z",29.08,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
29.334,2961.49,2735.48,3194.41,2925.3,10.314,"2026-05-02T11:59:36.502Z",29.334,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
29.588,2961.15,2735.09,3194.69,2925.32,10.305,"2026-05-02T11:59:36.502Z",29.588,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
