"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","datetime","label","leg","depth_m","depth_ft"
21.962,3393.59,2992.2,3729.98,3272.55,10.953,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",13.962,45.80708808
22.216,3394.31,2992.79,3730.68,3273.9,10.971,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",14.216,46.64042144
22.471,3392.51,2991.54,3731.9,3275.96,11.005,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",14.471,47.47703564
22.725,3391.62,2990.79,3731.92,3276.74,11.026,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",14.725,48.310369
22.979,3393.18,2992.04,3731.98,3277.41,11.038,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",14.979,49.14370236
23.233,3394.11,2993.73,3733.2,3279.09,11.078,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",15.233,49.97703572
23.487,3393.51,2994.8,3734.24,3280.51,11.135,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",15.487,50.81036908
23.742,3393.12,2995.78,3734.35,3280.93,11.181,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",15.742,51.64698328
23.996,3392.74,2995.85,3734.53,3280.99,11.19,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",15.996,52.48031664
24.25,3391.17,2994.47,3734.94,3280.92,11.179,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",16.25,53.31365
24.504,3390.69,2994.13,3734.6,3280.28,11.172,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",16.504,54.14698336
24.758,3391.92,2995.57,3734.27,3280.02,11.183,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",16.758,54.98031672
25.013,3392.11,2996.22,3735.35,3281.05,11.199,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",17.013,55.81693092
25.267,3390.01,2995.1,3736.24,3281.82,11.219,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",17.267,56.65026428
25.521,3389.14,2994.64,3735.28,3281.1,11.231,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",17.521,57.48359764
25.775,3391.02,2996.35,3734.68,3280.63,11.233,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",17.775,58.316931
26.029,3391.83,2997.49,3736.43,3282.08,11.243,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",18.029,59.15026436
26.284,3390.19,2996.47,3738.26,3283.6,11.252,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",18.284,59.98687856
26.538,3389.69,2995.83,3737.97,3283.46,11.25,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",18.538,60.82021192
26.792,3391.11,2996.89,3737.69,3283.38,11.249,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",18.792,61.65354528
27.046,3390.75,2996.76,3739.08,3284.44,11.25,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",19.046,62.48687864
27.3,3388.3,2995.33,3739.9,3284.85,11.263,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",19.3,63.320212
27.555,3388.31,2995.82,3738.94,3284.03,11.277,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",19.555,64.1568262
27.809,3390.26,2997.59,3738.94,3284.17,11.281,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",19.809,64.99015956
28.063,3390.36,2997.8,3741.14,3285.85,11.279,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",20.063,65.82349292
28.317,3388.84,2996.67,3742.54,3286.89,11.28,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",20.317,66.65682628
28.571,3388.84,2996.36,3742.06,3286.56,11.273,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",20.571,67.49015964
28.826,3390.07,2997.18,3742.13,3286.53,11.264,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",20.826,68.32677384
29.08,3390.12,2997.1,3743.28,3287.3,11.254,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",21.08,69.1601072
29.334,3389.17,2996.42,3743.86,3287.54,11.252,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",21.334,69.99344056
29.588,3388.47,2995.74,3743.8,3287.27,11.244,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",21.588,70.82677392
29.842,3387.63,2994.56,3744.03,3287.41,11.23,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",21.842,71.66010728
30.097,3385.87,2992.64,3744.21,3287.58,11.221,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",22.097,72.49672148
30.351,3384.97,2991.85,3743.68,3287.11,11.221,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",22.351,73.33005484
30.605,3385.56,2992.97,3743.11,3286.67,11.239,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",22.605,74.1633882
30.859,3385.19,2993.71,3743.19,3286.76,11.27,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",22.859,74.99672156
31.113,3383.56,2992.97,3742.9,3286.46,11.288,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",23.113,75.83005492
31.367,3383.52,2992.88,3741.73,3285.46,11.287,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",23.367,76.66338828
31.622,3385.3,2994.16,3741.63,3285.43,11.28,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",23.622,77.50000248
31.876,3385.43,2994.31,3743.58,3287.27,11.285,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",23.876,78.33333584
32.13,3384.05,2993.65,3745.29,3288.91,11.304,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",24.13,79.1666692
32.384,3384.34,2994.27,3745.54,3288.73,11.304,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",24.384,80.00000256
32.638,3385.72,2995.58,3746.08,3288.55,11.29,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",24.638,80.83333592
32.893,3384.95,2995.28,3747.49,3289.48,11.292,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",24.893,81.66995012
33.147,3383.04,2993.79,3747.73,3289.68,11.298,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",25.147,82.50328348
33.401,3383.36,2993.61,3746.66,3288.83,11.287,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",25.401,83.33661684
33.655,3384.75,2994.15,3746.69,3288.95,11.27,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",25.655,84.1699502
33.909,3384.32,2993.22,3748.15,3290.04,11.25,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",25.909,85.00328356
34.164,3383.13,2991.57,3748.89,3290.41,11.226,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",26.164,85.83989776
34.418,3383.43,2991.4,3748.83,3290.36,11.214,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",26.418,86.67323112
34.672,3383.78,2991.54,3749.7,3291.29,11.213,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",26.672,87.50656448
34.926,3382.26,2990.04,3750.79,3292.18,11.207,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",26.926,88.33989784
35.18,3381.33,2988.66,3750.29,3291.54,11.186,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",27.18,89.1732312
35.435,3382.59,2988.66,3749.65,3291.04,11.157,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",27.435,90.0098454
35.689,3383.48,2988.5,3750.86,3292.21,11.133,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",27.689,90.84317876
35.943,3382.45,2987.22,3752.48,3293.48,11.119,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",27.943,91.67651212
36.197,3381.81,2986.14,3753.02,3293.71,11.098,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",28.197,92.50984548
36.451,3381.98,2985.24,3753.73,3294.1,11.063,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",28.451,93.34317884
36.706,3381.23,2983.51,3755.05,3294.96,11.025,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",28.706,94.17979304
36.96,3379.77,2981.82,3755.32,3295.05,11.01,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",28.96,95.0131264
37.214,3379.32,2980.98,3754.39,3294.47,11.004,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",29.214,95.84645976
37.468,3379.3,2980.2,3754.07,3294.45,10.989,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",29.468,96.67979312
37.722,3378.08,2978.54,3754.52,3294.87,10.973,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",29.722,97.51312648
37.977,3376.69,2976.97,3754.32,3294.79,10.966,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",29.977,98.34974068
38.231,3377.11,2976.9,3753.87,3294.63,10.96,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",30.231,99.18307404
38.485,3377.65,2976.72,3754.85,3295.52,10.942,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",30.485,100.0164074
38.739,3376.13,2975.02,3756.33,3296.62,10.927,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",30.739,100.84974076
38.993,3374.79,2973.63,3756.37,3296.6,10.92,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",30.993,101.68307412
39.248,3374.89,2973.23,3755.72,3296.25,10.911,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",31.248,102.51968832
39.502,3374.35,2972.39,3756.13,3296.68,10.903,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",31.502,103.35302168
39.756,3372.8,2970.93,3756.74,3297.03,10.896,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",31.756,104.18635504
40.01,3372.01,2970.13,3756.34,3296.55,10.889,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",32.01,105.0196884
40.264,3372.6,2970.36,3756.15,3296.35,10.88,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",32.264,105.85302176
40.519,3372.6,2970.14,3756.95,3296.86,10.869,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",32.519,106.68963596
40.773,3372.03,2969.44,3757.22,3296.96,10.86,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",32.773,107.52296932
41.027,3373.01,2969.98,3756.63,3296.66,10.857,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",33.027,108.35630268
41.281,3374.52,2971.1,3757.05,3297.47,10.862,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",33.281,109.18963604
41.535,3373.9,2970.76,3758.58,3299.05,10.874,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",33.535,110.0229694
41.79,3372.47,2969.73,3759.3,3299.64,10.879,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",33.79,110.8595836
42.044,3372.62,2969.9,3759.14,3299.48,10.88,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",34.044,111.69291696
42.298,3372.86,2970.01,3759.81,3300.12,10.879,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",34.298,112.52625032
42.552,3371.35,2968.6,3761.1,3301.34,10.878,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",34.552,113.35958368
42.806,3369.64,2966.89,3761.24,3301.48,10.873,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",34.806,114.19291704
43.061,3369.76,2966.63,3760.48,3300.82,10.863,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",35.061,115.02953124
43.315,3370.56,2967.19,3760.74,3301.11,10.86,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",35.315,115.8628646
43.569,3370.1,2967.37,3761.89,3302.24,10.88,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",35.569,116.69619796
43.823,3369.54,2967.49,3762.31,3302.71,10.9,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",35.823,117.52953132
44.077,3369.88,2967.95,3762.3,3302.85,10.908,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",36.077,118.36286468
44.332,3369.73,2968.07,3762.93,3303.61,10.92,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",36.332,119.19947888
44.586,3368.67,2967.22,3763.56,3304.11,10.921,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",36.586,120.03281224
44.84,3368.49,2966.73,3763.38,3303.75,10.907,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",36.84,120.8661456
45.094,3369.28,2967.05,3763.57,3304,10.898,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",37.094,121.69947896
